graph_type,graph_size,sparsity,nodes,edges,density,avg_degree,log_nodes,log_edges,louvain_mean_s,louvain_std_s,spectral_mean_s,spectral_std_s,fast_total_mean_s,louvain_pred_s,spectral_pred_s,log_n_m2,gn_pred_s,gn_pred_low_s,gn_pred_high_s,gn_pred_h,gn_pred_d,gn_pred_low_h,gn_pred_high_h,gn_pred_low_d,gn_pred_high_d
synthetic,1000,very_sparse,1000,5290,0.010590591,10.58,6.907755279,8.573573525,0.004695733,0.000728588,0.013731321,4.60E-05,0.018427054,0.002706669,0.012623016,24.05490233,89.03041511,34.24217924,231.481027,0.024730671,0.001030445,0.009511716,0.064300285,0.000396322,0.002679179
synthetic,5000,very_sparse,5000,135071,0.010807842,54.0284,8.517193191,11.81355585,0.047482491,0.011975709,0.109505812,0.003487654,0.156988303,0.057810277,0.164240619,32.14430488,126849.4164,48787.82657,329811.2576,35.23594899,1.468164541,13.55217405,91.61423821,0.564673919,3.817259926
synthetic,10000,very_sparse,10000,540308,0.010807241,108.0616,9.210340372,13.19989463,0.170198361,0.0178505,0.337519328,0.019859688,0.507717689,0.214647533,0.493624455,35.61012962,2847617.083,1095228.124,7403866.71,791.0047452,32.95853105,304.2300345,2056.629642,12.67625144,85.69290174
synthetic,20000,very_sparse,20000,2162477,0.010812926,216.2477,9.903487553,14.58676488,0.720614592,0.028610778,1.273715019,0.00837021,1.994329611,0.79729084,1.483986449,39.07701732,63986611.04,24610027.95,166366588.5,17774.05862,740.5857759,6836.118874,46212.94125,284.8382864,1925.539219
synthetic,1000,sparse,1000,11750,0.023523524,23.5,6.907755279,9.37160852,0.005100012,0.00170634,0.016200542,0.00024358,0.021300554,0.00487228,0.018928091,25.65097232,373.0657001,143.4856004,969.9789815,0.103629361,0.00431789,0.039857111,0.269438606,0.001660713,0.011226609
synthetic,5000,sparse,5000,299527,0.023966953,119.8108,8.517193191,12.60995984,0.07842048,0.006761823,0.247725328,0.008545789,0.326145808,0.103939451,0.246073391,33.73711288,529985.1113,203838.7123,1377972.883,147.2180865,6.134086936,56.62186453,382.7702454,2.359244356,15.94876022
synthetic,10000,sparse,10000,1199580,0.023993999,239.916,9.210340372,13.99748205,0.368729671,0.013532375,0.526115815,0.005560607,0.894845486,0.386260108,0.740016936,37.20530448,11922835,4585667.184,30999631.82,3311.89861,137.9957754,1273.79644,8611.008839,53.07485167,358.7920349
synthetic,20000,sparse,20000,4801381,0.024008105,480.1381,9.903487553,15.38441414,1.680106481,0.035683072,3.336339792,0.093109878,5.016446273,1.434797171,2.224787624,40.67231584,267938589.2,103052436.5,696646193.5,74427.38589,3101.141079,28625.6768,193512.8315,1192.736533,8063.034647
synthetic,1000,moderately_sparse,1000,24061,0.04817017,48.122,6.907755279,10.08834755,0.006196419,0.001039294,0.027300835,0.000137249,0.033497254,0.008260801,0.02723498,27.08445038,1350.964208,519.5972465,3512.536495,0.375267836,0.01563616,0.144332568,0.975704582,0.006013857,0.040654358
synthetic,5000,moderately_sparse,5000,598994,0.047929106,239.5976,8.517193191,13.30300686,0.162212769,0.005880358,0.333799601,0.003623427,0.49601237,0.173177372,0.349833589,35.12320691,1839284.717,707411.2466,4782180.5,510.9124213,21.28801755,196.503124,1328.383472,8.187630169,55.34931134
synthetic,10000,moderately_sparse,10000,2402787,0.048060546,480.5574,9.210340372,14.69213987,0.734993935,0.027993348,0.900530179,0.009820544,1.635524114,0.644326347,1.052915807,38.59462012,41497392.27,15960401.2,107894127.7,11527.05341,480.293892,4433.444777,29970.59103,184.7268657,1248.774626
synthetic,20000,moderately_sparse,20000,9596023,0.047982514,959.6023,9.903487553,16.0768593,3.314954678,0.007228533,4.040340821,0.009844334,7.355295499,2.389509157,3.161933401,42.05720615,928862166.7,357251673.6,2415061953,258017.2685,10750.71952,99236.576,670850.5426,4134.857333,27952.10594
facebook,4039,real_world,4039,88234,0.010819964,43.69101263,8.303752416,11.38774766,0.042055448,0.005248589,0.287552595,0.01853073,0.329608043,0.038629465,0.117099639,31.07924773,48759.9484,18753.66852,126776.9325,13.54443011,0.564351255,5.209352366,35.21581459,0.217056349,1.467325608
